Age at Enrollment,Admission Grade,1st semester grade,2nd semester grade,Tuition Fees Up to Date,Scholarship Holder
20,127.3,0,0,1,0
19,142.5,14,########,0,0
19,124.8,0,0,0,0
20,119.6,########,12.4,1,0
45,141.5,########,13,1,0
50,114.8,########,11.5,1,0
18,128.4,13.3,14.345,1,1
22,113.1,0,0,0,0
21,129.3,13.875,########,1,1
18,123,11.4,13.5,0,0
18,130.6,########,14.2,1,0
18,119.3,########,########,1,1
19,130.2,0,0,1,0
21,111.8,########,11,1,1
18,137.1,13.25,12,1,1
20,120.7,13.2,0,1,0
18,137.4,12,11,1,0
18,127.3,1.330.625,14.545,1,0
20,136.3,12.5,12.25,1,0
18,124.6,########,13.5,1,0
21,120.3,0,0,1,1
20,121.8,114.375,11.425,1,0
18,125.5,########,########,1,0
19,114.9,13.375,########,1,1
19,123.9,########,########,1,0
18,157,11.6,11,1,1
21,116.4,11.375,########,1,0
18,131,########,13,1,0
20,122.1,12,########,1,0
19,118.8,########,########,1,0
21,150,########,########,1,0
20,130,########,13.4,1,0
18,138.8,########,13.5,0,0
19,134.5,########,14.375,1,0
34,131.4,12.4,########,1,0
37,102.5,0,10,0,0
43,128.8,0,0,1,0
55,122.9,10,12,1,0
39,113.9,11,11.6,1,0
20,120,########,12,0,0
18,121.1,12.75,0,1,0
22,120.4,14.8,15.8,1,0
22,100.6,13.928,########,1,0
20,121.4,13,13.8,0,0
29,109.7,0,0,1,0
24,134.1,11.5,########,1,0
18,127.6,########,13.2,1,0
22,132.4,########,########,1,1
21,133.4,11.5,########,1,1
19,126.1,########,########,1,1
24,113.5,########,########,1,1
19,121.3,########,########,1,1
20,121.8,14,11,1,1
19,159.3,########,15.8,1,0
27,120,10.6,11,1,0
18,129.1,########,13.595,1,0
39,130,0,0,1,0
27,155.3,13,12.9,1,0
18,139.8,14.935,14.935,1,0
18,115.2,0,0,1,0
18,114.9,########,########,1,0
21,131.9,12,12,1,1
19,126,0,0,1,1
19,130.2,11.4,10,1,0
24,120.9,0,0,1,0
29,126,11.9,11,1,0
19,128.2,0,0,1,1
23,130,########,########,1,0
19,120.1,11.2,10.75,1,0
26,100,12,10.8,1,0
18,134,0,0,1,0
24,130.8,11.975,13.75,1,0
19,135.8,0,0,1,0
18,111.7,########,12,1,0
18,132.9,########,########,1,0
18,115.5,########,########,1,0
21,106,10.5,11,1,1
19,120.3,########,########,1,1
22,130.8,########,########,1,1
33,117,12,########,1,0
20,110.2,12.2,12.2,1,0
35,155.7,0,0,1,0
24,180.4,########,13.3,1,0
18,125.5,12,########,1,0
33,110,11,11,1,0
22,161,13.08,13.08,1,1
25,100,10.5,11.6,1,1
20,117.6,########,11.2,1,0
23,128.7,14,13.8,1,0
18,112.2,10,0,1,0
24,100.8,0,0,1,0
21,105,14,13.5,0,0
26,100,12,0,1,0
39,115.5,########,0,1,0
44,114,11.875,########,1,0
19,137,14,13.25,1,0
18,124.9,########,########,1,0
18,120.3,13.75,########,1,1
19,134.3,14.2,13.8,1,0
19,111.5,11.96,0,0,0
21,128.8,12.875,13.4,1,0
20,110,0,0,1,0
36,113.5,0,0,1,0
43,160,########,########,1,0
19,117.4,0,0,1,0
20,122.2,13,########,1,0
19,118.2,0,0,1,0
20,106.7,14.2,13.25,1,0
20,108.2,########,12.3,1,0
20,107,########,13,1,0
18,136.1,########,15,1,0
18,115.3,13,11,1,1
19,139.8,13.4,12.8,1,0
18,157,########,########,1,0
18,131,########,########,1,0
20,100,########,13,1,0
20,140.4,10,10.75,1,1
20,113.4,########,########,1,0
18,137,########,11.4,1,0
18,121.8,12.6,14,1,0
21,131,11,11,1,0
19,118.6,10.8,11.25,1,0
19,122.3,0,0,1,0
19,127.9,12.8,14.2,1,1
19,121.3,########,12.2,1,0
19,117.1,12.1,0,1,0
20,160,########,########,1,0
18,145.3,12.8,13.4,1,1
18,122.6,13,########,1,0
19,128,########,########,1,0
18,124.9,132.375,########,1,1
18,123.7,########,13,1,0
19,120.1,12.4,14.6,1,0
19,131.7,14,0,1,0
20,133.2,########,########,1,0
19,109.3,12,12.5,0,1
20,113,12.2,11.5,1,0
18,157.9,########,########,1,1
20,112.1,13.188,########,1,1
18,174.7,17.125,175.875,1,0
19,128.8,########,########,1,0
19,110.1,########,12,1,1
22,99.7,0,0,0,0
19,121,########,11.5,1,1
19,131.7,13.605,1.233.125,1,1
19,119.1,12,10.8,1,1
19,124.7,0,0,1,0
20,117.2,11.2,########,1,0
18,128.8,13.375,########,1,0
20,131.5,########,########,1,1
18,121.7,0,0,1,0
19,123.4,12.4,13.4,1,0
18,124.7,########,########,1,0
18,132.8,########,11.8,1,0
21,108.7,########,10,1,0
19,138.1,12,11.5,1,0
18,126.5,10.6,11.8,1,1
18,127.4,12.25,########,1,1
20,123.6,11,########,1,0
24,122,11,12.6,1,1
19,118.2,########,13,1,0
18,123.9,########,########,1,1
18,125.8,1.491.875,15.355,1,0
21,123.3,11.5,11,1,0
19,124.4,14.2,14.2,1,0
19,126,12.5,13,1,1
47,170,0,0,1,0
19,121.5,########,11,1,0
29,130,########,########,1,0
21,117,12,########,1,0
28,130,11.25,10.5,1,0
20,108,########,135.625,1,0
19,132.3,########,########,1,0
26,148,########,12,1,0
20,122.6,11.75,########,0,0
18,123,########,13.5,1,1
27,102.5,13.2,12,1,0
20,113.3,11.95,11.95,1,0
18,133,12.4,10.4,1,0
33,140,14.35,########,1,0
35,128.3,########,########,1,0
26,140,########,########,1,1
27,104,12,0,0,0
19,122.3,########,0,0,0
20,135,0,0,1,0
20,119.1,10,########,0,0
21,126.6,11.5,10,0,0
18,129,13.05,13.05,1,1
24,162.3,11,0,1,0
20,163.4,11.5,12,1,0
21,121.5,12,12.5,1,1
23,122.8,10,10,1,0
24,118,0,0,1,0
21,134,0,0,1,0
18,129.8,########,########,1,0
27,152,0,0,1,0
18,122.8,1.293.375,1.293.375,1,0
35,150,0,0,1,0
18,131.8,########,########,1,0
35,105.9,########,########,1,0
19,132.1,13.75,########,1,0
20,127.4,########,########,1,0
18,129.5,########,########,1,0
21,126.7,########,########,1,0
18,116.5,########,11.25,1,1
18,119.1,11,10.75,1,0
18,126.5,########,########,1,0
18,149.8,########,########,1,1
19,115.1,########,13.4,1,0
36,124.5,########,12.8,1,1
18,128.3,########,########,1,1
18,136,########,########,1,1
20,140,15.625,########,1,1
26,126.3,0,0,1,1
21,126.9,########,12,1,0
25,145,12.125,133.125,1,0
19,115.8,11.6,11.6,1,1
24,100,10,0,1,0
27,102.5,10,0,1,1
21,131.5,0,13.5,1,0
18,147,13,########,1,1
19,122.5,########,14.5,1,1
18,117.5,11.25,12.5,1,0
19,150,13.85,########,1,1
19,127.5,########,149.125,1,1
33,140,########,15.8,1,0
45,130,11,13.8,1,0
20,133.3,12,########,1,1
28,97,0,0,1,0
19,112,########,########,1,1
18,123.6,########,########,1,0
38,130.5,0,0,1,0
19,133.3,13,13.2,1,0
21,132.1,11,12,1,1
21,100,12,15,1,0
22,140.4,12.6,13,1,1
18,141.7,13.4,########,1,1
18,119.7,########,########,1,1
25,122.5,13.5,14.25,0,0
24,140,11.75,########,0,0
19,119.4,########,114.625,1,0
24,155,########,########,1,0
20,119.1,11.6,13.6,1,1
25,122.7,0,0,0,0
20,117.9,12.9,########,1,1
23,130,13.22,13.22,1,0
19,120,########,########,1,1
29,130,12.75,########,0,0
21,116.8,########,12.25,1,0
18,123.4,13.25,########,1,1
19,125.4,12.4,12.4,1,0
18,127.2,15,########,1,1
19,103.4,14.4,13,1,0
18,123.2,11,0,1,0
18,124.1,12.4,10.8,1,0
37,99.5,16,0,0,1
29,124.9,########,########,1,0
18,110.8,########,12.5,1,0
19,118.9,########,########,1,1
22,118.8,########,13,0,0
20,137,########,10.6,1,1
34,100,0,0,1,0
30,120,11.75,########,0,0
18,122.8,14,14,1,0
18,121.6,########,12,1,0
18,149.2,12.25,########,1,0
18,140,########,########,1,0
19,133.4,11.4,12.8,1,1
19,126.2,13,12.5,1,1
18,127.8,########,########,1,1
21,150,########,12.8,1,1
20,113.7,10,13,0,0
20,117.8,13.5,########,1,0
19,136.7,12.67,13.55,1,0
20,144.7,14.5,########,1,0
18,139.8,########,153.875,1,0
20,113.7,11,########,1,0
29,140,########,13.2,0,0
18,142.3,########,13.775,1,1
20,119.6,1.400.375,########,1,1
22,123.7,12,11.4,1,1
47,143,########,########,1,1
31,100.1,14,13.8,1,0
21,119.4,13.8,########,1,1
21,122.1,12.8,########,1,0
24,100,########,########,1,0
18,113.9,12.5,########,1,0
32,101,12,11.5,1,0
19,111.8,########,11.5,1,1
24,140,13.385,13.385,1,0
19,124.4,########,14.5,1,0
19,150,########,########,1,1
24,140,########,13,1,0
18,116,########,########,1,1
19,135.6,12,########,1,1
19,121,########,########,1,1
18,118.7,########,########,1,1
18,125.7,########,########,1,0
20,107.1,12.5,131.375,1,0
18,125.5,12.86,12.86,1,0
18,127,12.25,########,1,0
21,113.5,12,12.2,1,1
18,154.4,########,########,1,1
18,122,12.5,10.25,0,0
19,128,0,0,1,0
